,user_id,age,place_of_living
0,54-101-001-01,54,1
1,54-602-024-01,69,2
2,54-601-020-01,55,2
3,54-701-021-01,54,2
4,54-504-035-01,54,2
5,54-504-009-01,55,2
6,54-502-001-01,61,2
7,54-602-040-01,56,2
8,54-504-003-01,68,2
9,54-504-002-01,57,2
10,54-504-032-01,64,2
11,54-504-036-01,60,2
12,54-504-028-01,52,2
13,54-702-018-01,62,2
14,54-502-012-01,57,2
15,54-601-004-02,53,2
16,54-503-018-01,53,2
17,54-502-006-02,69,2
18,54-702-026-01,41,2
19,54-601-056-01,62,2
20,54-601-055-01,69,2
21,54-601-052-01,60,2
22,54-503-004-01,66,2
23,54-503-021-01,60,2
24,54-502-008-01,57,2
25,54-503-006-01,43,2
26,54-601-051-01,47,2
27,54-601-004-01,52,2
28,54-701-024-02,63,2
29,54-701-037-01,45,2
30,54-701-020-01,52,2
31,54-701-035-01,55,2
32,54-701-034-01,62,2
33,54-701-029-01,35,2
34,54-601-030-02,64,2
35,54-601-030-04,42,2
36,54-601-033-01,60,2
37,54-601-033-02,66,2
38,54-601-043-01,56,2
39,54-601-034-02,46,2
40,54-002-015-01,56,2
41,54-601-041-01,62,2
42,54-002-103-01,47,1
43,54-002-172-01,65,1
44,54-602-026-02,57,2
45,54-701-037-02,55,2
46,54-602-035-01,55,2
47,54-602-057-01,49,2
48,54-602-048-01,52,2
49,54-103-001-01,59,1
50,54-602-058-01,63,2
51,54-602-049-01,65,2
52,54-103-002-01,66,1
53,54-103-003-01,70,1
54,54-701-032-01,58,2
55,54-602-051-01,70,2
56,54-602-059-01,53,2
57,54-602-060-01,40,2
58,54-701-033-02,39,2
59,54-602-053-01,58,2
60,54-602-039-01,57,2
61,54-602-062-01,55,2
62,54-602-054-01,64,2
63,54-602-002-01,55,2
64,54-602-038-01,68,2
65,54-602-055-01,62,2
66,54-601-012-02,37,1
67,54-103-004-01,53,1
68,54-103-006-02,55,1
69,54-103-007-01,40,1
70,54-701-033-01,35,2
71,54-601-011-01,57,2
72,54-602-056-01,60,2
73,54-601-013-01,67,2
74,54-701-028-01,59,2
75,54-602-035-02,69,2
76,54-601-016-01,64,2
77,54-601-017-02,35,1
78,54-602-036-01,52,2
79,54-602-034-01,57,2
80,54-602-037-01,58,2
81,54-602-041-01,48,2
82,54-602-042-01,53,2
83,54-602-044-01,60,2
84,54-602-047-01,65,2
85,54-601-009-02,48,2
86,54-601-010-02,58,2
87,54-601-011-02,66,2
88,54-601-015-02,44,2
89,54-601-050-01,60,2
90,54-601-019-01,54,2
91,54-601-005-02,51,2
92,54-601-006-01,47,2
93,54-601-029-01,56,2
94,54-701-019-01,48,2
95,54-601-027-01,37,2
96,54-601-028-02,66,2
97,54-602-030-01,55,2
98,54-602-014-01,60,2
99,54-602-013-01,51,2
100,54-701-024-01,62,2
101,54-601-008-01,36,2
102,54-701-023-01,59,2
103,54-701-022-01,65,2
104,54-701-011-01,39,2
105,54-701-014-01,45,2
106,54-602-006-01,42,2
107,54-701-016-01,41,2
108,54-701-017-01,66,2
109,54-602-033-01,36,2
110,54-602-032-01,42,2
111,54-701-018-01,46,2
112,54-602-005-01,55,2
113,54-602-004-01,50,2
114,54-701-036-01,45,2
115,54-701-031-01,58,2
116,54-701-013-01,49,2
117,54-602-031-01,43,2
118,54-701-039-01,52,2
119,54-701-018-02,46,2
120,54-701-015-01,68,2
121,54-602-026-01,60,2
122,54-701-041-01,44,2
123,54-701-014-02,48,2
124,54-602-008-01,54,2
125,54-701-012-01,61,2
126,54-701-012-02,55,2
127,54-602-009-02,60,2
128,54-602-025-01,46,2
129,54-701-011-02,46,2
130,54-602-010-01,36,2
131,54-701-030-01,68,2
132,54-701-008-01,49,2
133,54-602-015-01,61,2
134,54-102-003-01,35,1
135,54-701-027-01,57,2
136,54-701-026-01,56,2
137,54-701-025-01,36,2
138,54-701-045-01,51,2
139,54-701-046-01,40,2
140,54-701-004-01,67,2
141,54-701-047-01,58,2
142,54-701-005-01,68,2
143,54-701-048-01,51,2
144,54-102-014-02,65,1
145,54-102-021-01,37,1
146,54-102-026-01,55,1
147,54-701-002-01,60,2
148,54-701-003-01,53,2
149,54-701-006-01,44,2
150,54-701-007-01,50,2
151,54-702-036-01,56,2
152,54-702-038-01,63,2
153,54-702-037-01,58,2
154,54-702-004-01,58,2
155,54-702-035-01,60,2
156,54-702-033-01,52,2
157,54-701-010-01,35,2
158,54-702-031-01,64,2
159,54-702-027-01,51,2
160,54-702-007-01,54,2
161,54-702-025-01,50,2
162,54-702-008-01,50,2
163,54-702-011-01,66,2
164,54-702-013-01,63,2
165,54-702-024-01,60,2
166,54-702-012-01,60,2
167,54-702-010-01,56,2
168,54-501-057-01,58,2
169,54-501-058-01,64,2
170,54-501-065-01,54,2
171,54-702-022-01,44,2
172,54-501-066-01,67,2
173,54-602-011-01,53,2
174,54-501-067-01,41,2
175,54-501-068-01,64,2
176,54-501-069-01,69,2
177,54-501-071-02,64,2
178,54-601-025-01,61,2
179,54-601-021-02,53,2
180,54-501-072-01,40,2
181,54-501-075-01,51,2
182,54-501-073-01,55,2
183,54-501-076-01,47,2
184,54-103-007-02,41,1
185,54-103-010-01,35,1
186,54-501-055-01,66,2
187,54-103-009-01,53,1
188,54-103-008-01,60,1
189,54-501-080-01,60,2
190,54-501-079-01,55,2
191,54-501-051-01,56,2
192,54-501-056-01,60,2
193,54-501-077-01,70,2
194,54-501-052-01,37,2
195,54-501-053-01,56,2
196,54-501-003-01,57,2
197,54-501-042-01,54,2
198,54-501-044-01,58,2
199,54-501-041-01,49,2
200,54-501-047-01,66,2
201,54-501-045-01,52,2
202,54-102-037-01,56,2
203,54-501-045-02,53,2
204,54-102-051-01,41,1
205,54-501-040-02,53,2
206,54-501-009-01,52,2
207,54-102-072-01,52,1
208,54-501-050-01,68,2
209,54-102-126-01,58,1
210,54-102-033-02,54,1
211,54-501-040-01,54,2
212,54-501-049-01,64,2
213,54-102-206-02,59,1
214,54-501-039-03,67,2
215,54-102-167-02,52,1
216,54-501-009-02,54,2
217,54-102-156-02,41,1
218,54-601-023-01,68,2
219,54-102-054-02,35,1
220,54-501-008-02,42,2
221,54-102-203-01,67,1
222,54-501-007-01,52,2
223,54-501-005-02,38,2
224,54-501-039-01,43,2
225,54-102-139-01,58,1
226,54-501-006-02,39,2
227,54-102-162-01,50,1
228,54-501-006-01,37,2
229,54-102-181-01,60,1
230,54-101-076-01,55,1
231,54-101-012-01,47,1
232,54-701-001-01,52,2
233,54-501-005-01,43,2
234,54-504-011-01,53,2
235,54-501-004-01,53,2
236,54-504-014-01,67,2
237,54-501-003-02,57,2
238,54-504-015-01,44,2
239,54-504-006-01,64,2
240,54-504-017-01,41,2
241,54-504-005-01,44,2
242,54-504-004-01,58,2
243,54-501-039-02,68,2
244,54-504-001-01,66,2
245,54-501-038-02,57,2
246,54-101-089-01,42,1
247,54-101-066-01,38,1
248,54-101-040-01,65,1
249,54-101-036-01,52,1
250,54-101-030-01,48,1
251,54-101-073-01,53,1
252,54-101-014-01,64,1
253,54-101-020-01,60,1
254,54-504-008-01,59,2
255,54-504-033-01,66,2
256,54-504-012-01,56,2
257,54-504-010-01,57,2
258,54-501-062-01,57,2
259,54-504-013-01,40,2
260,54-504-029-01,58,2
261,54-504-027-01,46,2
262,54-501-061-01,50,2
263,54-501-059-02,51,2
264,54-501-059-01,52,2
265,54-504-019-01,60,2
266,54-101-005-01,44,1
267,54-002-192-01,63,1
268,54-002-191-01,43,1
269,54-002-190-02,39,1
270,54-102-168-01,40,1
271,54-102-191-01,47,1
272,54-102-227-02,43,1
273,54-102-202-01,67,1
274,54-002-187-01,61,1
275,54-102-197-02,41,1
276,54-002-184-01,47,1
277,54-002-175-01,61,1
278,54-002-165-01,67,1
279,54-002-163-02,48,1
280,54-002-152-01,54,1
281,54-002-136-02,63,1
282,54-101-011-01,35,1
283,54-101-077-01,63,1
284,54-002-126-01,68,1
285,54-002-121-02,58,1
286,54-002-111-01,51,1
287,54-002-102-02,44,1
288,54-102-318-01,65,1
289,54-002-104-01,45,1
290,54-002-084-01,60,1
291,54-002-080-01,37,1
292,54-002-077-01,70,1
293,54-002-074-02,62,1
294,54-002-064-01,48,1
295,54-002-063-01,43,1
296,54-002-047-01,57,1
297,54-002-043-01,62,1
298,54-002-042-01,47,1
299,54-002-037-01,37,1
300,54-002-034-02,35,1
301,54-002-028-01,52,1
302,54-002-022-02,60,1
303,54-002-019-01,56,1
304,54-002-005-02,61,1
305,54-002-009-02,62,1
306,54-101-082-01,48,1
307,54-101-090-01,40,1
308,54-102-297-01,47,1
309,54-102-288-01,57,1
310,54-504-031-01,65,2
311,54-504-016-01,63,2
312,54-504-018-01,61,2
313,54-504-020-01,59,2
314,54-504-021-01,39,2
315,54-103-014-01,62,1
316,54-103-013-01,52,1
317,54-102-258-01,66,1
318,54-102-238-01,41,1
319,54-102-360-01,41,1
320,54-102-360-02,45,1
321,54-102-281-02,49,1
322,54-103-012-01,38,1
323,54-103-011-01,65,1
324,54-103-015-01,64,1
325,54-102-160-01,51,1
326,54-102-172-01,66,1
327,54-102-171-01,59,1
328,54-102-170-01,51,1
329,54-102-169-01,65,1
330,54-101-015-01,59,1
331,54-102-351-01,36,1
332,54-102-329-01,40,1
333,54-102-352-02,65,1
334,54-102-342-02,43,1
335,54-101-006-01,64,1
336,54-101-091-01,64,1
337,54-101-057-01,40,1
338,54-102-181-02,41,1
339,54-102-184-02,51,1
340,54-102-188-02,59,1
341,54-102-189-02,64,1
342,54-102-030-01,54,1
343,54-102-029-01,57,1
344,54-102-028-01,44,1
345,54-102-027-01,54,1
346,54-103-016-01,52,1
347,54-702-032-01,51,2
348,54-702-032-02,57,2
349,54-101-063-01,61,1
350,54-102-195-01,68,1
351,54-702-033-02,60,2
352,54-504-003-02,62,2
353,54-504-001-02,68,2
354,54-504-012-02,55,2
355,54-101-059-01,59,1
356,54-504-005-02,52,2
357,54-702-035-02,58,2
358,54-102-166-01,44,1
359,54-102-167-01,51,1
360,54-702-031-02,62,2
361,54-702-034-01,60,2
362,54-102-159-01,50,1
363,54-102-158-01,57,1
364,54-102-157-01,69,1
365,54-102-200-01,59,1
366,54-102-198-01,58,1
367,54-102-199-01,39,1
368,54-102-197-01,41,1
369,54-102-196-01,45,1
370,54-602-061-01,60,2
371,54-602-045-01,43,2
372,54-102-156-01,38,1
373,54-102-155-01,43,1
374,54-102-154-01,50,1
375,54-102-153-01,48,1
376,54-102-152-01,62,1
377,54-102-193-01,63,1
378,54-102-192-01,64,1
379,54-102-194-01,36,1
380,54-102-011-01,39,1
381,54-702-030-01,56,2
382,54-702-029-01,61,2
383,54-702-028-01,63,2
384,54-702-026-02,51,2
385,54-102-190-01,66,1
386,54-602-043-01,61,2
387,54-602-050-01,58,2
388,54-102-189-01,69,1
389,54-102-188-01,69,1
390,54-102-187-01,56,1
391,54-602-052-01,58,2
392,54-102-186-01,66,1
393,54-102-185-01,35,1
394,54-102-016-01,66,1
395,54-102-183-01,43,1
396,54-602-046-01,66,2
397,54-102-059-02,41,1
398,54-102-059-01,42,1
399,54-102-058-01,41,1
400,54-102-057-02,59,1
401,54-102-057-01,57,1
402,54-102-184-01,52,1
403,54-102-100-01,40,1
404,54-102-099-01,70,1
405,54-102-182-01,41,1
406,54-102-098-01,67,1
407,54-102-165-01,61,1
408,54-101-072-01,47,1
409,54-102-164-01,54,1
410,54-102-097-01,69,1
411,54-102-163-01,51,1
412,54-102-096-01,64,1
413,54-102-161-01,51,1
414,54-102-015-01,45,1
415,54-504-026-01,64,2
416,54-504-024-01,67,2
417,54-102-014-01,57,1
418,54-102-013-01,65,1
419,54-102-012-01,52,1
420,54-504-025-01,47,2
421,54-504-023-01,64,2
422,54-102-094-01,39,1
423,54-102-001-01,67,1
424,54-102-002-01,54,1
425,54-102-093-01,48,1
426,54-102-002-02,67,1
427,54-102-004-01,68,1
428,54-102-064-01,58,1
429,54-102-062-01,66,1
430,54-102-061-01,62,1
431,54-102-060-01,60,1
432,54-102-046-01,59,1
433,54-102-045-01,59,1
434,54-102-044-01,55,1
435,54-102-043-01,49,1
436,54-103-017-01,46,1
437,54-102-005-01,52,1
438,54-102-006-01,58,1
439,54-103-017-02,67,1
440,54-103-020-02,69,1
441,54-103-020-01,59,1
442,54-102-042-01,60,1
443,54-102-041-01,53,1
444,54-102-040-01,58,1
445,54-504-013-02,43,2
446,54-102-035-01,55,1
447,54-102-039-01,39,1
448,54-102-038-01,61,1
449,54-504-015-02,45,2
450,54-102-036-01,48,1
451,54-504-016-02,59,2
452,54-102-025-02,60,1
453,54-102-095-01,42,1
454,54-102-092-01,57,1
455,54-102-034-01,35,1
456,54-102-033-01,41,1
457,54-102-032-01,69,1
458,54-102-027-02,54,1
459,54-102-031-01,56,1
460,54-102-198-02,59,1
461,54-102-091-01,58,1
462,54-102-007-01,44,1
463,54-102-055-01,64,1
464,54-102-019-01,63,1
465,54-102-018-01,65,1
466,54-102-017-01,37,1
467,54-102-056-01,65,1
468,54-102-054-01,65,1
469,54-102-053-01,51,1
470,54-102-052-01,55,1
471,54-102-090-01,67,1
472,54-102-050-01,68,1
473,54-102-049-01,61,1
474,54-102-048-01,67,1
475,54-102-047-01,54,1
476,54-102-066-01,51,1
477,54-102-065-01,38,1
478,54-102-077-01,61,1
479,54-102-076-01,69,1
480,54-102-075-01,52,1
481,54-102-074-01,52,1
482,54-102-073-01,42,1
483,54-102-071-01,37,1
484,54-102-070-01,56,1
485,54-102-069-01,40,1
486,54-102-067-01,48,1
487,54-102-063-01,55,1
488,54-602-029-01,55,2
489,54-602-028-01,45,2
490,54-602-027-01,36,2
491,54-602-025-02,44,2
492,54-602-023-01,57,2
493,54-602-017-01,63,2
494,54-602-016-01,60,2
495,54-602-022-01,58,2
496,54-602-018-01,67,2
497,54-701-029-02,39,2
498,54-701-028-02,59,2
499,54-701-026-02,64,2
500,54-501-034-01,64,2
501,54-501-035-01,57,2
502,54-501-036-01,62,2
503,54-102-084-01,44,1
504,54-102-085-01,51,1
505,54-102-086-01,45,1
506,54-102-087-01,64,1
507,54-102-087-02,62,1
508,54-504-029-02,59,2
509,54-001-032-01,45,1
510,54-504-023-02,63,2
511,54-102-171-02,38,1
512,54-001-081-01,35,1
513,54-001-082-01,35,1
514,54-001-083-01,35,1
515,54-001-062-01,65,1
516,54-102-194-02,42,1
517,54-001-064-02,50,1
518,54-001-065-01,59,1
519,54-001-066-01,37,1
520,54-001-067-01,59,1
521,54-102-008-01,65,1
522,54-001-068-01,47,1
523,54-001-070-02,39,1
524,54-001-037-01,43,1
525,54-001-017-01,60,1
526,54-001-018-01,60,1
527,54-001-043-01,47,1
528,54-001-039-01,48,1
529,54-001-029-01,53,1
530,54-001-071-01,35,1
531,54-001-072-01,57,1
532,54-001-073-01,63,1
533,54-001-075-01,54,1
534,54-001-078-01,50,1
535,54-001-079-01,35,1
536,54-001-085-01,39,1
537,54-001-086-01,38,1
538,54-001-087-01,35,1
539,54-001-055-01,57,1
540,54-001-057-01,41,1
541,54-001-058-01,48,1
542,54-001-059-01,48,1
543,54-001-060-01,41,1
544,54-001-096-01,48,1
545,54-001-097-02,48,1
546,54-001-079-02,40,1
547,54-001-080-01,39,1
548,54-001-080-02,63,1
549,54-001-105-01,57,1
550,54-102-046-02,38,1
551,54-103-021-01,45,1
552,54-102-068-01,64,1
553,54-001-028-01,42,1
554,54-001-105-02,61,1
555,54-001-105-03,37,1
556,54-102-089-01,64,1
557,54-001-106-01,42,1
558,54-001-098-01,35,1
559,54-001-098-02,38,1
560,54-001-100-01,37,1
561,54-001-101-01,48,1
562,54-001-102-01,55,1
563,54-001-102-02,52,1
564,54-001-103-01,48,1
565,54-001-074-01,55,1
566,54-001-088-01,45,1
567,54-001-091-01,53,1
568,54-001-092-01,55,1
569,54-102-088-01,66,1
570,54-001-093-01,35,1
571,54-001-094-01,42,1
572,54-001-095-01,35,1
573,54-001-095-02,55,1
574,54-001-104-01,62,1
575,54-001-036-01,55,1
576,54-001-035-01,47,1
577,54-001-034-01,44,1
578,54-001-033-01,47,1
579,54-001-054-01,51,1
580,54-001-053-01,68,1
581,54-001-052-01,47,1
582,54-001-051-01,36,1
583,54-001-049-01,66,1
584,54-001-047-01,65,1
585,54-001-046-01,58,1
586,54-001-045-01,39,1
587,54-001-044-01,53,1
588,54-102-170-02,56,1
589,54-102-158-02,53,1
590,54-102-155-02,49,1
591,54-002-088-01,58,1
592,54-102-199-02,37,1
593,54-002-089-01,38,1
594,54-102-008-02,65,1
595,54-602-012-01,53,2
596,54-702-021-01,61,2
597,54-502-014-01,50,2
598,54-502-016-01,59,2
599,54-502-017-01,51,2
600,54-502-017-02,55,2
601,54-502-018-01,54,2
602,54-002-090-01,44,1
603,54-002-101-01,63,1
604,54-503-005-01,65,2
605,54-503-007-01,65,2
606,54-503-008-01,63,2
607,54-503-009-01,54,2
608,54-503-010-02,39,2
609,54-001-027-01,60,1
610,54-503-011-01,66,2
611,54-503-012-01,54,2
612,54-503-013-01,57,2
613,54-001-026-01,61,1
614,54-002-107-01,47,1
615,54-001-056-01,48,1
616,54-002-107-02,49,1
617,54-102-093-02,56,1
618,54-001-031-01,40,1
619,54-001-038-01,35,1
620,54-002-108-01,59,1
621,54-503-017-01,63,2
622,54-001-097-01,48,1
623,54-001-050-01,53,1
624,54-503-018-02,54,2
625,54-102-066-02,49,1
626,54-001-048-01,59,1
627,54-001-065-02,60,1
628,54-001-082-02,38,1
629,54-602-001-01,62,1
630,54-602-004-02,51,2
631,54-001-020-01,66,1
632,54-503-020-01,62,2
633,54-001-084-01,42,1
634,54-002-102-01,50,1
635,54-002-105-01,63,1
636,54-102-051-02,45,1
637,54-002-106-01,51,1
638,54-002-106-02,70,1
639,54-102-017-02,38,1
640,54-001-090-01,59,1
641,54-102-009-01,51,1
642,54-102-018-02,65,1
643,54-102-009-02,40,1
644,54-102-095-02,67,1
645,54-001-025-01,44,1
646,54-102-065-02,40,1
647,54-002-109-01,70,1
648,54-002-109-02,69,1
649,54-002-110-01,68,1
650,54-002-081-01,52,1
651,54-002-082-01,44,1
652,54-002-083-01,56,1
653,54-002-085-01,59,1
654,54-102-010-01,55,1
655,54-002-086-01,44,1
656,54-504-028-02,49,2
657,54-504-022-01,43,2
658,54-002-087-01,36,1
659,54-002-093-02,37,1
660,54-504-030-01,55,2
661,54-504-034-01,58,2
662,54-504-034-02,56,2
663,54-002-073-01,62,1
664,54-002-074-01,56,1
665,54-504-035-02,48,2
666,54-504-033-02,67,2
667,54-504-036-02,62,2
668,54-002-039-01,46,1
669,54-002-040-01,65,1
670,54-002-041-01,68,1
671,54-002-044-01,57,1
672,54-002-045-01,65,1
673,54-002-045-02,67,1
674,54-002-046-01,65,1
675,54-002-007-01,55,1
676,54-002-048-01,52,1
677,54-002-049-01,48,1
678,54-002-006-01,38,1
679,54-002-005-01,61,1
680,54-002-004-01,57,1
681,54-002-003-01,55,1
682,54-002-002-01,45,1
683,54-002-070-01,48,1
684,54-002-069-02,42,1
685,54-002-069-01,44,1
686,54-002-068-01,38,1
687,54-002-067-01,46,1
688,54-002-066-01,61,1
689,54-002-065-01,54,1
690,54-002-063-02,46,1
691,54-002-055-01,39,1
692,54-002-054-02,52,1
693,54-002-054-01,56,1
694,54-002-076-01,52,1
695,54-002-059-01,68,1
696,54-002-060-01,61,1
697,54-002-060-02,35,1
698,54-002-061-01,52,1
699,54-002-061-02,56,1
700,54-002-062-01,41,1
701,54-002-035-01,50,1
702,54-002-036-01,51,1
703,54-002-038-01,42,1
704,54-002-072-01,55,1
705,54-002-075-01,52,1
706,54-001-006-03,64,1
707,54-101-023-01,68,1
708,54-101-022-01,63,1
709,54-101-021-01,67,1
710,54-101-019-01,60,1
711,54-101-018-01,51,1
712,54-101-017-01,62,1
713,54-101-016-01,53,1
714,54-101-013-01,57,1
715,54-101-010-01,55,1
716,54-101-009-02,54,1
717,54-101-009-01,59,1
718,54-101-008-01,41,1
719,54-101-007-01,64,1
720,54-101-006-02,39,1
721,54-101-004-01,64,1
722,54-101-003-01,54,1
723,54-101-002-01,44,1
724,54-101-002-02,45,1
725,54-101-039-01,35,1
726,54-101-038-01,62,1
727,54-101-037-01,49,1
728,54-101-035-01,49,1
729,54-101-034-01,57,1
730,54-101-033-01,54,1
731,54-001-024-01,60,1
732,54-102-020-01,44,1
733,54-102-044-02,50,1
734,54-102-039-02,42,1
735,54-102-036-02,44,1
736,54-102-022-01,61,1
737,54-102-023-01,57,1
738,54-102-023-02,61,1
739,54-102-024-01,55,1
740,54-102-025-01,55,1
741,54-001-005-01,50,1
742,54-001-004-01,35,1
743,54-001-003-01,42,1
744,54-001-002-01,62,1
745,54-001-001-01,37,1
746,54-502-004-01,62,2
747,54-502-009-01,41,2
748,54-502-011-01,42,2
749,54-002-071-01,64,1
750,54-101-027-01,46,1
751,54-101-028-01,43,1
752,54-001-012-01,58,1
753,54-101-029-01,39,1
754,54-101-029-02,44,1
755,54-101-031-01,35,1
756,54-101-032-01,65,1
757,54-002-016-01,58,1
758,54-002-001-01,68,1
759,54-001-013-01,38,1
760,54-002-021-01,44,1
761,54-002-020-01,55,1
762,54-002-018-01,58,1
763,54-002-017-01,64,1
764,54-001-014-01,49,1
765,54-001-016-01,60,1
766,54-001-046-02,61,1
767,54-001-048-02,64,1
768,54-001-040-02,48,1
769,54-001-025-02,48,1
770,54-001-011-01,42,1
771,54-001-010-01,65,1
772,54-001-009-01,56,1
773,54-001-008-01,47,1
774,54-001-007-01,58,1
775,54-002-094-01,43,1
776,54-002-095-01,61,1
777,54-002-095-02,41,1
778,54-002-096-01,69,1
779,54-002-097-01,54,2
780,54-002-098-01,59,1
781,54-002-099-01,65,1
782,54-002-100-01,68,1
783,54-002-077-02,48,1
784,54-502-019-01,62,2
785,54-502-020-01,66,2
786,54-502-022-01,59,2
787,54-503-003-01,63,2
788,54-002-078-01,62,1
789,54-002-079-01,51,1
790,54-002-091-01,63,1
791,54-002-092-01,43,1
792,54-002-092-02,42,1
793,54-002-093-01,37,1
794,54-002-012-01,65,1
795,54-001-023-01,63,1
796,54-002-014-01,69,1
797,54-002-013-01,46,1
798,54-002-034-01,35,1
799,54-002-008-01,60,1
800,54-002-009-01,58,1
801,54-001-015-01,62,1
802,54-002-010-01,68,1
803,54-002-011-01,69,1
804,54-001-021-01,66,1
805,54-001-089-01,49,1
806,54-001-006-02,39,1
807,54-001-052-02,44,1
808,54-602-007-01,57,2
809,54-602-002-02,51,2
810,54-001-030-01,60,1
811,54-001-057-02,44,1
812,54-602-005-02,56,2
813,54-001-066-02,40,1
814,54-602-006-02,38,2
815,54-001-068-02,50,1
816,54-001-090-02,61,1
817,54-001-005-02,35,1
818,54-102-337-01,52,1
819,54-101-024-01,59,1
820,54-102-338-01,46,1
821,54-101-025-01,58,1
822,54-102-338-02,69,1
823,54-101-026-01,35,1
824,54-102-339-01,69,1
825,54-101-047-01,41,1
826,54-102-340-01,53,1
827,54-101-048-01,51,1
828,54-102-341-01,51,1
829,54-101-049-01,43,1
830,54-102-342-01,40,1
831,54-101-053-01,53,1
832,54-102-343-01,68,1
833,54-101-054-01,43,1
834,54-102-344-01,45,1
835,54-101-050-01,66,1
836,54-101-051-01,67,1
837,54-102-345-01,35,1
838,54-101-052-01,47,1
839,54-101-041-01,50,1
840,54-101-042-01,60,1
841,54-101-043-01,42,1
842,54-101-044-01,50,1
843,54-101-045-01,49,1
844,54-101-046-01,40,1
845,54-101-065-01,41,1
846,54-101-067-01,65,1
847,54-101-068-01,47,1
848,54-001-076-01,69,1
849,54-602-009-01,59,1
850,54-602-019-01,59,2
851,54-001-107-01,37,1
852,54-001-042-01,40,1
853,54-001-041-01,39,1
854,54-001-006-01,65,1
855,54-602-003-01,58,2
856,54-001-064-01,50,1
857,54-001-063-01,63,1
858,54-001-061-01,46,1
859,54-001-069-01,36,1
860,54-001-019-01,64,1
861,54-001-022-01,55,1
862,54-102-348-01,67,1
863,54-102-349-01,58,1
864,54-101-031-02,57,1
865,54-101-052-02,44,1
866,54-101-055-01,39,1
867,54-101-056-01,58,1
868,54-101-060-01,63,1
869,54-101-061-01,46,1
870,54-101-062-01,53,1
871,54-101-064-01,40,1
872,54-101-068-02,46,1
873,54-101-069-01,51,1
874,54-101-070-01,69,1
875,54-101-071-01,44,1
876,54-101-074-01,60,1
877,54-101-075-01,55,1
878,54-101-078-01,56,1
879,54-101-079-01,59,1
880,54-101-080-01,45,1
881,54-101-080-02,45,1
882,54-101-081-01,52,1
883,54-103-018-01,62,1
884,54-103-024-01,65,1
885,54-102-180-01,53,1
886,54-102-179-01,46,1
887,54-002-029-01,58,1
888,54-002-027-01,65,1
889,54-002-026-01,58,1
890,54-002-025-01,45,1
891,54-102-178-01,54,1
892,54-102-177-01,59,1
893,54-102-176-01,57,1
894,54-102-175-01,64,1
895,54-102-174-01,51,1
896,54-102-173-01,47,1
897,54-102-083-01,67,1
898,54-102-335-02,60,1
899,54-001-036-02,52,1
900,54-103-023-01,67,1
901,54-103-022-02,67,1
902,54-103-022-01,67,1
903,54-103-030-01,62,1
904,54-103-029-01,69,1
905,54-103-028-01,65,1
906,54-103-026-01,43,1
907,54-103-025-01,69,1
908,54-102-358-02,47,1
909,54-102-356-02,55,1
910,54-102-205-02,53,1
911,54-102-320-01,69,1
912,54-102-303-01,59,1
913,54-102-304-01,43,1
914,54-102-304-02,40,1
915,54-102-305-01,58,1
916,54-102-306-01,50,1
917,54-102-306-02,53,1
918,54-102-307-01,43,1
919,54-102-353-01,52,1
920,54-102-354-01,40,1
921,54-102-354-02,48,1
922,54-102-355-01,56,1
923,54-102-356-01,53,1
924,54-102-318-02,67,1
925,54-102-319-01,54,1
926,54-102-325-01,47,1
927,54-102-326-01,59,1
928,54-102-327-01,54,1
929,54-102-328-01,62,1
930,54-102-308-01,69,1
931,54-102-352-01,63,1
932,54-102-345-02,42,1
933,54-102-211-01,60,1
934,54-102-212-01,61,1
935,54-102-212-02,67,1
936,54-102-213-01,68,1
937,54-102-214-01,61,1
938,54-102-214-02,63,1
939,54-102-215-01,36,1
940,54-102-216-01,50,1
941,54-102-220-01,58,1
942,54-102-336-01,65,1
943,54-102-223-01,42,1
944,54-102-224-01,61,1
945,54-102-224-02,61,1
946,54-102-225-01,38,1
947,54-102-219-01,70,1
948,54-102-226-01,43,1
949,54-102-227-01,47,1
950,54-102-330-01,65,1
951,54-102-217-01,63,1
952,54-102-331-01,60,1
953,54-102-331-02,61,1
954,54-102-332-01,63,1
955,54-002-033-01,55,1
956,54-102-333-01,68,1
957,54-102-334-01,36,1
958,54-102-221-01,68,1
959,54-102-222-01,40,1
960,54-102-222-02,52,1
961,54-102-236-01,37,1
962,54-002-032-01,46,1
963,54-002-030-01,45,1
964,54-002-168-01,43,1
965,54-002-167-01,61,1
966,54-002-166-02,53,1
967,54-002-193-01,37,1
968,54-002-190-01,59,1
969,54-002-189-01,59,1
970,54-002-188-01,67,1
971,54-002-186-01,44,1
972,54-501-022-01,46,1
973,54-002-185-02,54,1
974,54-002-185-01,59,1
